item,date,sales,sales_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52
2,2014-02,2657,-635.0,662.0,48.0,18.0,-20.0,-838.0,-210.0,-78.0,130.0,125.0,111.0,71.0,-88.0,-45.0,-129.0,-149.0,104.0,39.0,-275.0,-73.0,9.0,-58.0,-11.0,-441.0,-25.0,115.0,-119.0,257.0,84.0,11.0,-80.0,165.0,167.0,-149.0,141.0,4.0,374.0,-55.0,-20.0,-60.0,501.0,-40.0,-49.0,63.0,324.0,220.0,-70.0,12.0,205.0,85.0,-98.0,77.0,-382.0
2,2014-03,2651,-6.0,-635.0,662.0,48.0,18.0,-20.0,-838.0,-210.0,-78.0,130.0,125.0,111.0,71.0,-88.0,-45.0,-129.0,-149.0,104.0,39.0,-275.0,-73.0,9.0,-58.0,-11.0,-441.0,-25.0,115.0,-119.0,257.0,84.0,11.0,-80.0,165.0,167.0,-149.0,141.0,4.0,374.0,-55.0,-20.0,-60.0,501.0,-40.0,-49.0,63.0,324.0,220.0,-70.0,12.0,205.0,85.0,-98.0,77.0
2,2014-04,2666,15.0,-6.0,-635.0,662.0,48.0,18.0,-20.0,-838.0,-210.0,-78.0,130.0,125.0,111.0,71.0,-88.0,-45.0,-129.0,-149.0,104.0,39.0,-275.0,-73.0,9.0,-58.0,-11.0,-441.0,-25.0,115.0,-119.0,257.0,84.0,11.0,-80.0,165.0,167.0,-149.0,141.0,4.0,374.0,-55.0,-20.0,-60.0,501.0,-40.0,-49.0,63.0,324.0,220.0,-70.0,12.0,205.0,85.0,-98.0
2,2014-05,2866,200.0,15.0,-6.0,-635.0,662.0,48.0,18.0,-20.0,-838.0,-210.0,-78.0,130.0,125.0,111.0,71.0,-88.0,-45.0,-129.0,-149.0,104.0,39.0,-275.0,-73.0,9.0,-58.0,-11.0,-441.0,-25.0,115.0,-119.0,257.0,84.0,11.0,-80.0,165.0,167.0,-149.0,141.0,4.0,374.0,-55.0,-20.0,-60.0,501.0,-40.0,-49.0,63.0,324.0,220.0,-70.0,12.0,205.0,85.0
2,2014-06,3020,154.0,200.0,15.0,-6.0,-635.0,662.0,48.0,18.0,-20.0,-838.0,-210.0,-78.0,130.0,125.0,111.0,71.0,-88.0,-45.0,-129.0,-149.0,104.0,39.0,-275.0,-73.0,9.0,-58.0,-11.0,-441.0,-25.0,115.0,-119.0,257.0,84.0,11.0,-80.0,165.0,167.0,-149.0,141.0,4.0,374.0,-55.0,-20.0,-60.0,501.0,-40.0,-49.0,63.0,324.0,220.0,-70.0,12.0,205.0
2,2014-07,3058,38.0,154.0,200.0,15.0,-6.0,-635.0,662.0,48.0,18.0,-20.0,-838.0,-210.0,-78.0,130.0,125.0,111.0,71.0,-88.0,-45.0,-129.0,-149.0,104.0,39.0,-275.0,-73.0,9.0,-58.0,-11.0,-441.0,-25.0,115.0,-119.0,257.0,84.0,11.0,-80.0,165.0,167.0,-149.0,141.0,4.0,374.0,-55.0,-20.0,-60.0,501.0,-40.0,-49.0,63.0,324.0,220.0,-70.0,12.0
2,2014-08,2966,-92.0,38.0,154.0,200.0,15.0,-6.0,-635.0,662.0,48.0,18.0,-20.0,-838.0,-210.0,-78.0,130.0,125.0,111.0,71.0,-88.0,-45.0,-129.0,-149.0,104.0,39.0,-275.0,-73.0,9.0,-58.0,-11.0,-441.0,-25.0,115.0,-119.0,257.0,84.0,11.0,-80.0,165.0,167.0,-149.0,141.0,4.0,374.0,-55.0,-20.0,-60.0,501.0,-40.0,-49.0,63.0,324.0,220.0,-70.0
2,2014-09,3148,182.0,-92.0,38.0,154.0,200.0,15.0,-6.0,-635.0,662.0,48.0,18.0,-20.0,-838.0,-210.0,-78.0,130.0,125.0,111.0,71.0,-88.0,-45.0,-129.0,-149.0,104.0,39.0,-275.0,-73.0,9.0,-58.0,-11.0,-441.0,-25.0,115.0,-119.0,257.0,84.0,11.0,-80.0,165.0,167.0,-149.0,141.0,4.0,374.0,-55.0,-20.0,-60.0,501.0,-40.0,-49.0,63.0,324.0,220.0
2,2014-10,3684,536.0,182.0,-92.0,38.0,154.0,200.0,15.0,-6.0,-635.0,662.0,48.0,18.0,-20.0,-838.0,-210.0,-78.0,130.0,125.0,111.0,71.0,-88.0,-45.0,-129.0,-149.0,104.0,39.0,-275.0,-73.0,9.0,-58.0,-11.0,-441.0,-25.0,115.0,-119.0,257.0,84.0,11.0,-80.0,165.0,167.0,-149.0,141.0,4.0,374.0,-55.0,-20.0,-60.0,501.0,-40.0,-49.0,63.0,324.0
2,2014-11,3591,-93.0,536.0,182.0,-92.0,38.0,154.0,200.0,15.0,-6.0,-635.0,662.0,48.0,18.0,-20.0,-838.0,-210.0,-78.0,130.0,125.0,111.0,71.0,-88.0,-45.0,-129.0,-149.0,104.0,39.0,-275.0,-73.0,9.0,-58.0,-11.0,-441.0,-25.0,115.0,-119.0,257.0,84.0,11.0,-80.0,165.0,167.0,-149.0,141.0,4.0,374.0,-55.0,-20.0,-60.0,501.0,-40.0,-49.0,63.0
