item,date,sales,sales_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52
8,2014-02,3511,-523.0,651.0,50.0,-72.0,-19.0,-1116.0,-226.0,9.0,39.0,23.0,267.0,55.0,32.0,28.0,-457.0,35.0,-43.0,158.0,-345.0,-6.0,-268.0,388.0,-480.0,-443.0,197.0,-178.0,24.0,457.0,-98.0,-150.0,139.0,178.0,139.0,-27.0,13.0,123.0,219.0,19.0,-27.0,33.0,595.0,21.0,96.0,-24.0,345.0,221.0,167.0,-46.0,60.0,222.0,-17.0,-66.0,-289.0
8,2014-03,3507,-4.0,-523.0,651.0,50.0,-72.0,-19.0,-1116.0,-226.0,9.0,39.0,23.0,267.0,55.0,32.0,28.0,-457.0,35.0,-43.0,158.0,-345.0,-6.0,-268.0,388.0,-480.0,-443.0,197.0,-178.0,24.0,457.0,-98.0,-150.0,139.0,178.0,139.0,-27.0,13.0,123.0,219.0,19.0,-27.0,33.0,595.0,21.0,96.0,-24.0,345.0,221.0,167.0,-46.0,60.0,222.0,-17.0,-66.0
8,2014-04,3448,-59.0,-4.0,-523.0,651.0,50.0,-72.0,-19.0,-1116.0,-226.0,9.0,39.0,23.0,267.0,55.0,32.0,28.0,-457.0,35.0,-43.0,158.0,-345.0,-6.0,-268.0,388.0,-480.0,-443.0,197.0,-178.0,24.0,457.0,-98.0,-150.0,139.0,178.0,139.0,-27.0,13.0,123.0,219.0,19.0,-27.0,33.0,595.0,21.0,96.0,-24.0,345.0,221.0,167.0,-46.0,60.0,222.0,-17.0
8,2014-05,3600,152.0,-59.0,-4.0,-523.0,651.0,50.0,-72.0,-19.0,-1116.0,-226.0,9.0,39.0,23.0,267.0,55.0,32.0,28.0,-457.0,35.0,-43.0,158.0,-345.0,-6.0,-268.0,388.0,-480.0,-443.0,197.0,-178.0,24.0,457.0,-98.0,-150.0,139.0,178.0,139.0,-27.0,13.0,123.0,219.0,19.0,-27.0,33.0,595.0,21.0,96.0,-24.0,345.0,221.0,167.0,-46.0,60.0,222.0
8,2014-06,3923,323.0,152.0,-59.0,-4.0,-523.0,651.0,50.0,-72.0,-19.0,-1116.0,-226.0,9.0,39.0,23.0,267.0,55.0,32.0,28.0,-457.0,35.0,-43.0,158.0,-345.0,-6.0,-268.0,388.0,-480.0,-443.0,197.0,-178.0,24.0,457.0,-98.0,-150.0,139.0,178.0,139.0,-27.0,13.0,123.0,219.0,19.0,-27.0,33.0,595.0,21.0,96.0,-24.0,345.0,221.0,167.0,-46.0,60.0
8,2014-07,3950,27.0,323.0,152.0,-59.0,-4.0,-523.0,651.0,50.0,-72.0,-19.0,-1116.0,-226.0,9.0,39.0,23.0,267.0,55.0,32.0,28.0,-457.0,35.0,-43.0,158.0,-345.0,-6.0,-268.0,388.0,-480.0,-443.0,197.0,-178.0,24.0,457.0,-98.0,-150.0,139.0,178.0,139.0,-27.0,13.0,123.0,219.0,19.0,-27.0,33.0,595.0,21.0,96.0,-24.0,345.0,221.0,167.0,-46.0
8,2014-08,3914,-36.0,27.0,323.0,152.0,-59.0,-4.0,-523.0,651.0,50.0,-72.0,-19.0,-1116.0,-226.0,9.0,39.0,23.0,267.0,55.0,32.0,28.0,-457.0,35.0,-43.0,158.0,-345.0,-6.0,-268.0,388.0,-480.0,-443.0,197.0,-178.0,24.0,457.0,-98.0,-150.0,139.0,178.0,139.0,-27.0,13.0,123.0,219.0,19.0,-27.0,33.0,595.0,21.0,96.0,-24.0,345.0,221.0,167.0
8,2014-09,4212,298.0,-36.0,27.0,323.0,152.0,-59.0,-4.0,-523.0,651.0,50.0,-72.0,-19.0,-1116.0,-226.0,9.0,39.0,23.0,267.0,55.0,32.0,28.0,-457.0,35.0,-43.0,158.0,-345.0,-6.0,-268.0,388.0,-480.0,-443.0,197.0,-178.0,24.0,457.0,-98.0,-150.0,139.0,178.0,139.0,-27.0,13.0,123.0,219.0,19.0,-27.0,33.0,595.0,21.0,96.0,-24.0,345.0,221.0
8,2014-10,4666,454.0,298.0,-36.0,27.0,323.0,152.0,-59.0,-4.0,-523.0,651.0,50.0,-72.0,-19.0,-1116.0,-226.0,9.0,39.0,23.0,267.0,55.0,32.0,28.0,-457.0,35.0,-43.0,158.0,-345.0,-6.0,-268.0,388.0,-480.0,-443.0,197.0,-178.0,24.0,457.0,-98.0,-150.0,139.0,178.0,139.0,-27.0,13.0,123.0,219.0,19.0,-27.0,33.0,595.0,21.0,96.0,-24.0,345.0
8,2014-11,4610,-56.0,454.0,298.0,-36.0,27.0,323.0,152.0,-59.0,-4.0,-523.0,651.0,50.0,-72.0,-19.0,-1116.0,-226.0,9.0,39.0,23.0,267.0,55.0,32.0,28.0,-457.0,35.0,-43.0,158.0,-345.0,-6.0,-268.0,388.0,-480.0,-443.0,197.0,-178.0,24.0,457.0,-98.0,-150.0,139.0,178.0,139.0,-27.0,13.0,123.0,219.0,19.0,-27.0,33.0,595.0,21.0,96.0,-24.0
