,item,date,sales
0,1,2013-01,1039
1,1,2013-02,863
2,1,2013-03,865
3,1,2013-04,799
4,1,2013-05,954
5,1,2013-06,935
6,1,2013-07,947
7,1,2013-08,961
8,1,2013-09,1096
9,1,2013-10,1182
10,1,2013-11,1134
11,1,2013-12,1160
12,1,2013-13,1149
13,1,2013-14,1422
14,1,2013-15,1379
15,1,2013-16,1332
16,1,2013-17,1326
17,1,2013-18,1384
18,1,2013-19,1423
19,1,2013-20,1428
20,1,2013-21,1454
21,1,2013-22,1470
22,1,2013-23,1529
23,1,2013-24,1560
24,1,2013-25,1565
25,1,2013-26,1548
26,1,2013-27,1593
27,1,2013-28,1682
28,1,2013-29,1649
29,1,2013-30,1598
30,1,2013-31,1487
31,1,2013-32,1467
32,1,2013-33,1430
33,1,2013-34,1496
34,1,2013-35,1424
35,1,2013-36,1324
36,1,2013-37,1386
37,1,2013-38,1273
38,1,2013-39,1342
39,1,2013-40,1257
40,1,2013-41,1279
41,1,2013-42,1258
42,1,2013-43,1199
43,1,2013-44,1338
44,1,2013-45,1389
45,1,2013-46,1321
46,1,2013-47,1390
47,1,2013-48,1346
48,1,2013-49,1016
49,1,2013-50,914
50,1,2013-51,984
51,1,2013-52,977
52,1,2014-01,1138
53,1,2014-02,972
54,1,2014-03,981
55,1,2014-04,996
56,1,2014-05,991
57,1,2014-06,1130
58,1,2014-07,1044
59,1,2014-08,1105
60,1,2014-09,1194
61,1,2014-10,1311
62,1,2014-11,1345
63,1,2014-12,1341
64,1,2014-13,1315
65,1,2014-14,1500
66,1,2014-15,1502
67,1,2014-16,1523
68,1,2014-17,1579
69,1,2014-18,1597
70,1,2014-19,1645
71,1,2014-20,1676
72,1,2014-21,1654
73,1,2014-22,1704
74,1,2014-23,1758
75,1,2014-24,1919
76,1,2014-25,1881
77,1,2014-26,1814
78,1,2014-27,1837
79,1,2014-28,1825
80,1,2014-29,1944
81,1,2014-30,1964
82,1,2014-31,1763
83,1,2014-32,1633
84,1,2014-33,1630
85,1,2014-34,1622
86,1,2014-35,1703
87,1,2014-36,1595
88,1,2014-37,1568
89,1,2014-38,1544
90,1,2014-39,1516
91,1,2014-40,1476
92,1,2014-41,1454
93,1,2014-42,1442
94,1,2014-43,1467
95,1,2014-44,1432
96,1,2014-45,1542
97,1,2014-46,1554
98,1,2014-47,1594
99,1,2014-48,1568
100,1,2014-49,1123
101,1,2014-50,1078
102,1,2014-51,1115
103,1,2014-52,1173
104,1,2015-01,650
105,1,2015-02,1062
106,1,2015-03,990
107,1,2015-04,1072
108,1,2015-05,1057
109,1,2015-06,1127
110,1,2015-07,1185
111,1,2015-08,1201
112,1,2015-09,1155
113,1,2015-10,1375
114,1,2015-11,1430
115,1,2015-12,1368
116,1,2015-13,1382
117,1,2015-14,1576
118,1,2015-15,1681
119,1,2015-16,1651
120,1,2015-17,1636
121,1,2015-18,1707
122,1,2015-19,1756
123,1,2015-20,1716
124,1,2015-21,1704
125,1,2015-22,1717
126,1,2015-23,1945
127,1,2015-24,1877
128,1,2015-25,1865
129,1,2015-26,1851
130,1,2015-27,1966
131,1,2015-28,2000
132,1,2015-29,2055
133,1,2015-30,1929
134,1,2015-31,1871
135,1,2015-32,1780
136,1,2015-33,1787
137,1,2015-34,1772
138,1,2015-35,1709
139,1,2015-36,1689
140,1,2015-37,1600
141,1,2015-38,1671
142,1,2015-39,1629
143,1,2015-40,1521
144,1,2015-41,1455
145,1,2015-42,1453
146,1,2015-43,1526
147,1,2015-44,1567
148,1,2015-45,1639
149,1,2015-46,1638
150,1,2015-47,1712
151,1,2015-48,1690
152,1,2015-49,1127
153,1,2015-50,1129
154,1,2015-51,1119
155,1,2015-52,1134
156,1,2015-53,603
157,1,2016-01,1115
158,1,2016-02,1116
159,1,2016-03,1071
160,1,2016-04,1121
161,1,2016-05,1274
162,1,2016-06,1256
163,1,2016-07,1275
164,1,2016-08,1229
165,1,2016-09,1485
166,1,2016-10,1472
167,1,2016-11,1479
168,1,2016-12,1517
169,1,2016-13,1650
170,1,2016-14,1779
171,1,2016-15,1816
172,1,2016-16,1760
173,1,2016-17,1811
174,1,2016-18,1874
175,1,2016-19,1917
176,1,2016-20,1853
177,1,2016-21,1858
178,1,2016-22,1928
179,1,2016-23,2023
180,1,2016-24,2041
181,1,2016-25,2140
182,1,2016-26,2185
183,1,2016-27,2298
184,1,2016-28,2112
185,1,2016-29,2104
186,1,2016-30,2194
187,1,2016-31,1879
188,1,2016-32,1854
189,1,2016-33,1769
190,1,2016-34,1949
191,1,2016-35,1822
192,1,2016-36,1666
193,1,2016-37,1720
194,1,2016-38,1760
195,1,2016-39,1706
196,1,2016-40,1669
197,1,2016-41,1690
198,1,2016-42,1617
199,1,2016-43,1572
200,1,2016-44,1754
201,1,2016-45,1735
202,1,2016-46,1672
203,1,2016-47,1681
